year,date,open,high,low,close,volume
2017,1/25/17,140.8,141.39,139.05,139.52,7612888
2017,1/26/17,140.45,141.21,138.51,138.96,6038313
2017,1/27/17,139.46,142.49,139,142.45,8323866
2017,1/30/17,141.77,141.967,138.8,141.22,8122481
2017,1/31/17,140.55,141.83,139.7,140.71,4411631
2017,2/1/17,141.2,142.41,139.3,140.78,6033422
2017,2/2/17,140.61,141.04,139.05,139.2,3462370
2017,2/3/17,139.51,140.64,139.1,140.25,3512568
2017,2/6/17,140,141,139.16,140.97,3552066
2017,2/7/17,141.49,144.28,141.05,144,8573515
2017,2/8/17,143.57,145.07,142.56,144.74,6887050
2017,2/9/17,144.98,145.09,143.58,144.14,4555119
2017,2/10/17,144.68,145.2992,143.97,144.82,6171936
2017,2/13/17,145.19,145.95,143.05,143.2,4790435
2017,2/14/17,143.2,144.11,140.05,140.82,8367786
2017,2/15/17,140.72,142.43,140.51,142.27,5309050
2017,2/16/17,142.42,142.44,141.07,142.01,2847496
2017,2/17/17,141.75,142.9,141.27,142.22,4588073
2017,2/21/17,142.99,143.38,141.81,142.6,3571481
2017,2/22/17,142.92,144,142.17,143.86,3481968
2017,2/23/17,144.45,144.49,141.5196,142.78,4667978
2017,2/24/17,141.88,143.56,141.55,143.25,3302714
2017,2/27/17,143.12,143.92,142.38,143.41,3907377
2017,2/28/17,143.3,143.57,141.85,142.13,3862221
2017,3/1/17,142.84,143.26,142.1,142.65,4170649
2017,3/2/17,142.15,142.7,139.09,139.53,6119945
2017,3/3/17,139.69,140.91,138.26,139.14,5401104
2017,3/6/17,141,142.84,140.54,141.94,7116118
2017,3/7/17,141.99,142.4,140.38,141.43,4241037
2017,3/8/17,141.47,142.06,139.7704,140.32,4092550
2017,3/9/17,140.04,141.24,139.74,140.53,2652740
2017,3/10/17,141.39,141.8,140.28,140.89,3318464
2017,3/13/17,140.9,143.71,140.321,143.52,4922432
2017,3/14/17,142.95,143.31,141.7,143.19,4660294
2017,3/15/17,144.2,145.52,143.23,145.25,5987198
2017,3/16/17,145.5,146.5,144.22,144.39,5286456
2017,3/17/17,144.05,145.76,143.4,145.11,6281316
2017,3/20/17,145.45,146.25,144.58,145.83,3421046
2017,3/21/17,146.75,147.7,142.1,142.42,7669753
2017,3/22/17,142.545,143.8,140.76,142.65,6486893
2017,3/23/17,142.14,142.89,141.26,141.84,3712625
2017,3/24/17,142.36,142.8,141.58,142.02,3546599
2017,3/27/17,140.83,144.39,140,144.06,4771650
2017,3/28/17,144.1,146.11,143.92,145.17,4638003
2017,3/29/17,145.5,147.18,144.9089,146.47,3855031
2017,3/30/17,146.81,148.29,146.53,148.06,4461068
2017,3/31/17,148,148.225,147.33,147.81,3888237
2017,4/3/17,146.7,148.005,145.74,146.92,4609336
2017,4/4/17,146.84,147.09,144.89,145.5,4368919
2017,4/5/17,146.19,146.25,143.26,143.62,4607636
